Vehicle speed (km/h),Instant fuel economy (l/100 km),Engine coolant temperature (°C),Engine RPM (RPM),Boost (bar),Acceleration (g),Engine Power (hp),Engine Torque (N•m)
47,37.03192,87,1912,0.29,0.01958775,63.04257,234.791
47,35.6166,87,1895,0.25,2.83E-18,60.63314,227.8433
46,33.65776,87,1855,0.2,-0.01357124,56.07933,215.2754
45,34.13963,87,1846,0.21,-0.01677423,55.64564,214.652
45,34.13963,87,1846,0.21,-0.01677423,55.64564,214.652
46,36.10888,87,1903,0.25,0.01358648,60.16331,225.1274
48,34.95081,87,1935,0.26,0.04951164,60.76566,223.6211
48,35.25569,87,1970,0.26,0.03592516,61.29574,221.5641
49,34.7466,88,2000,0.24,0.01701239,61.6692,219.5704
50,31.59043,88,2008,0.18,0.01276819,57.21177,202.8883
49,32.29622,88,1980,0.17,-0.01990478,57.32019,206.1474
50,30.11368,88,1967,0.15,-0.0003130627,54.5373,197.4353
48,30.75172,88,1949,0.14,-0.01147784,53.46511,195.3413
47,31.64662,88,1924,0.15,-0.01991492,53.87471,199.3955
47,32.70811,88,1919,0.17,-0.01991492,55.68178,206.6206
47,32.89918,88,1908,0.18,1.13E-17,56.00705,209.0258
47,33.90406,88,1899,0.22,1.13E-17,57.71774,216.4312
47,35.85012,88,1915,0.26,1.13E-17,61.0307,226.9421
48,37.14043,88,1958,0.31,0.01571641,64.57256,234.8393
48,39.48942,88,2001,0.36,0.01571641,68.65652,244.3263
50,41.94097,88,2081,0.44,0.03919175,75.95708,259.9152
55,45.79007,88,2266,0.55,0.07427222,91.22078,286.6615
57,40.29138,88,2297,0.43,0.07660553,83.18535,257.8822
57,38.31328,88,2264,0.35,0.03591552,79.10138,248.7958
57,34.2929,88,2264,0.25,5.66E-18,70.80091,222.6886
56,33.45608,88,2244,0.23,-0.01173586,67.86142,215.3454
55,34.73562,88,2254,0.25,-0.03075879,69.19865,218.6146
56,35.68332,88,2265,0.3,-0.00221784,72.37909,227.5518
56,32.74337,88,2219,0.2,5.66E-18,66.41576,213.1323
55,30.4481,88,2176,0.15,-0.01824087,60.65724,198.4994
54,29.2504,88,2139,0.12,-0.03697903,57.21177,190.4627
51,28.94279,88,2055,0.1,-0.05097401,53.46511,185.2653
51,27.72978,88,1974,0.09,-0.03134977,51.22435,184.7841
49,27.52442,88,1902,0.08,-0.03924407,48.85106,182.8938
48,32.46323,88,1944,0.19,-0.02611216,56.44075,206.7435
48,33.98765,88,1973,0.22,0.0326873,59.09111,213.2704
50,33.75233,88,2028,0.25,0.0392282,61.12708,214.6353
51,42.70986,88,2145,0.48,0.05883929,78.89658,261.9186
59,71.26114,88,2568,1.29,0.1381519,152.2876,422.2844
64,78.80042,88,2779,1.55,0.1731321,182.6705,468.0747
69,77.06699,88,3062,1.55,0.1977675,192.6093,447.9273
78,75.80315,88,3348,1.55,0.2078653,214.1616,455.5034
84,71.48939,88,3523,1.55,0.2102075,217.5107,439.6464
88,68.58381,88,3720,1.55,0.1748145,218.607,418.4626
92,23.92918,88,2596,0.34,0.07509881,79.73988,218.729
92,39.79641,88,2650,0.98,-0.01453564,132.6147,356.3536
95,52.39689,88,2740,1.48,0.05384239,180.2972,468.5693
98,56.22312,88,2854,1.55,0.110869,199.5726,497.9461
107,55.64692,88,3107,1.55,0.1497139,215.6675,494.2867
111,53.55772,88,3188,1.55,0.1480606,215.3302,480.9745
114,53.10527,88,3268,1.55,0.1286888,219.2816,477.8105
115,20.62993,88,3171,0.21,0.007420355,85.93209,192.9721
113,19.06421,88,3085,0.15,-0.07895491,78.02918,180.1098
110,18.29002,88,2989,0.12,-0.09781232,72.87302,173.6106
99,18.03772,88,2691,0.09,-0.196418,64.68098,171.1584
95,17.65936,88,2568,0.07,-0.1971941,60.76566,168.4995
91,17.39027,91,2412,0.06,-0.1579808,57.32019,169.2255
84,18.32076,91,2280,0.1,-0.1695206,55.74202,174.0938
77,20.08132,91,2053,0.15,-0.1383499,56.00705,194.2626
73,19.76469,91,1930,0.13,-0.1359991,52.2604,192.8195
67,19.57877,91,1676,0.11,-0.1704391,47.51383,201.8745
62,14.52715,91,1028,0.06,-0.1912154,32.6236,225.9822
55,10.71579,91,1451,0.02,-0.227286,21.34749,104.7647
36,20.0392,91,979,0.05,-0.3068025,26.1302,190.0621
31,18.62565,91,1313,0.02,-0.2476695,20.9138,113.4237
28,35.39823,91,1628,0.03,-0.1444313,35.90041,157.0292
25,41.60172,91,1553,0.06,-0.1043405,37.67134,172.7329
25,53.36248,91,1812,0.2,-0.05390665,48.32099,189.8948
33,62.3677,91,1796,0.38,0.1452153,74.54757,295.5715
34,32.40902,91,1051,0.14,0.08657081,39.9121,270.4191
34,27.82108,91,1407,0.06,0.01745098,34.262,173.402
36,32.53945,91,1540,0.17,0.03921595,42.42995,196.1947
36,32.53945,91,1540,0.17,0.03921595,42.42995,196.1947
43,44.76962,90,1856,0.46,0.1048922,69.72872,267.528
46,51.13377,90,1992,0.65,0.1251014,85.19722,304.5591
49,56.42675,90,2016,0.75,0.1203756,100.1477,353.7414
49,32.93427,90,1958,0.2,0.007437268,58.45262,212.5821
48,31.02196,90,1905,0.15,-0.05206113,53.93495,201.6094
47,30.79742,90,1903,0.14,-0.04104861,52.42906,196.1863
47,34.13758,90,1899,0.23,4.53E-17,58.1153,217.9219
47,35.59537,90,1908,0.27,4.53E-17,60.597,226.1561
47,35.51752,90,1906,0.25,4.53E-17,60.46449,225.8983
47,36.4021,90,1950,0.29,4.53E-17,61.97038,226.3002
48,33.94608,90,1899,0.2,0.01388976,59.01883,221.31
46,31.18494,90,1828,0.14,-0.03495929,51.95922,202.4053
44,29.8736,90,1769,0.1,-0.0673321,47.61021,191.6495
43,31.49653,90,1737,0.16,-0.04668923,49.05587,201.1067
43,34.79933,90,1767,0.22,-0.01431641,54.19999,218.4229
43,36.91096,90,1796,0.27,4.24E-17,57.48885,227.9359
44,36.92625,90,1790,0.24,0.01745021,58.85017,234.1155
43,28.93627,90,1613,0.1,-0.01170341,45.06827,198.9628
39,27.8276,90,1340,0.07,-0.07973363,39.30975,208.8964
35,19.7945,90,953,0.04,-0.1581181,25.09415,187.5059
25,20.64786,90,899,0,-0.1641476,18.69713,148.0985
23,21.6769,90,871,-0.01,-0.1153165,18.05863,147.6393
19,26.20545,90,889,-0.01,-0.1166484,18.03454,144.457
7,71.12907,90,883,-0.01,-0.2128813,18.03454,145.4386
3,168.0743,90,855,-0.01,-0.1791252,18.26343,152.1079
0,0,90,839,-0.01,-0.13844,16.42022,139.3646
0,0,90,830,-0.01,-0.05885164,16.7214,143.4597
0,0,90,1034,-0.01,2.26E-17,16.66117,114.7414
0,0,90,1105,0,2.26E-17,23.55212,151.776
1,597.6837,90,1021,0.03,0.01464065,21.64867,150.9875
3,203.5517,90,972,0.03,0.04824813,22.11851,162.041
6,94.34777,90,886,0.03,0.08830113,20.50419,164.7952
8,70.55296,90,890,0.01,0.09118882,20.44396,163.5726
7,69.13346,90,910,0,-0.01226212,17.52856,137.164
7,78.4938,90,1023,0.01,1.98E-17,19.90184,138.5329
8,77.57915,90,1109,0.02,0.01745686,22.47992,144.344
9,76.35037,90,1188,0.04,0.03227765,24.88935,149.1875
11,89.01608,90,1552,0.1,0.03701676,35.46672,162.7289
14,91.06136,90,1771,0.17,0.07072477,46.17661,185.6688
16,100.9859,90,2011,0.26,0.08357432,58.5249,207.2355
18,100.5933,90,1643,0.28,0.07116973,65.58451,284.2491
17,57.10952,90,986,0.14,0.02050135,35.16554,253.9661
15,40.9986,90,977,0.02,-0.03468617,22.27512,162.3532
15,40.88773,90,1052,0.02,-0.01593627,22.21489,150.3709
16,42.07401,90,1139,0.03,0.01963606,24.38337,152.4423
18,41.61206,90,1186,0.05,0.03863944,27.13011,162.893
18,40.79904,90,1168,0.05,2.83E-17,26.60004,162.1716
18,40.85447,90,1170,0.05,2.83E-17,26.63618,162.1144
16,32.09598,90,867,0.01,-0.02623356,18.60075,152.7731
14,35.94465,90,884,0,-0.06371116,18.22729,146.8268
14,34.75679,90,876,-0.01,-0.0374776,17.62493,143.2712
14,34.82806,90,887,-0.01,2.83E-17,17.66108,141.7846
13,37.94208,90,884,-0.01,-0.01573316,17.86588,143.9155
11,42.66362,90,883,-0.01,-0.03748843,16.99848,137.0834
10,48.29364,90,880,-0.01,-0.038689,17.49242,141.5476
8,58.74562,90,871,-0.01,-0.04833768,17.02258,139.169
7,72.31693,90,865,-0.01,-0.0462851,18.33571,150.9445
5,98.84897,90,876,-0.01,-0.05330918,17.90202,145.5236
1,446.0177,90,839,-0.01,-0.06873298,16.15519,137.1151
0,0,90,822,-0.01,-0.04970216,17.02258,147.465
0,0,90,703,-0.05,-0.01965251,17.82973,180.603
0,0,90,0,-0.08,3.68E-17,16.82982,0
0,0,90,0,-0.03,3.68E-17,16.82982,0
0,0,90,0,-0.04,3.68E-17,16.82982,0
0,0,90,0,-0.04,3.68E-17,16.82982,0
0,0,90,0,-0.04,3.68E-17,16.82982,0
0,0,90,0,-0.04,3.68E-17,16.82982,0
0,0,90,0,-0.04,3.68E-17,16.82982,0
0,0,90,0,-0.04,3.68E-17,16.82982,0
0,0,90,0,-0.04,3.68E-17,16.82982,0
0,0,90,0,-0.04,3.68E-17,16.82982,0
